rank,body_id,phase,Cd,percentile,lambda,w0,w1,w2,w3,converged_residual,force_converged,runtime_s,termination_reason
1,P45_012,Phase45,0.000718132545,0.0,3.8,0.5,1.5,1.0,0.5,False,False,4467.518534660339,MAX_ITERATIONS
2,P45_007,Phase45,0.000724362897,0.7751937984496124,3.8,0.5,1.4,1.2,0.6,False,False,4001.211897134781,MAX_ITERATIONS
3,P45_008,Phase45,0.000724448233,1.550387596899225,3.6,0.5,1.4,1.2,0.6,False,False,4151.916862726212,MAX_ITERATIONS
4,P45_003,Phase45,0.000726446077,2.3255813953488373,4.1,0.5,1.5,1.2,0.6,False,False,4595.415692806244,MAX_ITERATIONS
5,P45_001,Phase45,0.000726602699,3.10077519379845,4.0,0.5,1.4,1.2,0.6,False,False,2332.2053327560425,MAX_ITERATIONS
6,Body_0004,DOE,0.000728229264,3.875968992248062,4.1,0.5,1.4,1.2,0.6,False,False,3920.2559316158295,MAX_ITERATIONS
7,P45_013,Phase45,0.00072888279,4.651162790697675,4.0,0.5,1.5,1.1,0.7,False,False,4520.736538648605,MAX_ITERATIONS
8,P45_006,Phase45,0.000729019575,5.426356589147287,4.1,0.5,1.4,1.2,0.5,True,False,4017.444584131241,RESIDUAL_CONVERGED
9,P3_014,Phase3,0.000729229229,6.2015503875969,4.1,0.5,1.4,1.2,0.6,False,False,3978.913228750229,MAX_ITERATIONS
10,P45_002,Phase45,0.000729391017,6.976744186046512,4.2,0.5,1.4,1.2,0.6,False,False,4589.649431943893,MAX_ITERATIONS
11,P45_004,Phase45,0.000730724683,7.751937984496124,4.1,0.5,1.3,1.2,0.6,False,False,4556.465299844742,MAX_ITERATIONS
12,P3_015,Phase3,0.000736939958,8.527131782945736,4.0,0.5,1.3,0.9,0.8,False,False,3930.113297700882,MAX_ITERATIONS
13,P45_009,Phase45,0.000737200794,9.30232558139535,4.1,0.6,1.5,1.2,0.6,True,False,3894.995952129364,RESIDUAL_CONVERGED
14,P3_004,Phase3,0.000740434521,10.077519379844961,4.1,0.5,1.4,0.7,0.9,False,False,4253.239011287689,MAX_ITERATIONS
15,P3_013,Phase3,0.000743129699,10.852713178294573,3.8,0.5,1.0,0.9,0.5,False,False,4465.313632488251,MAX_ITERATIONS
16,Body_0020,DOE,0.000746339601,11.627906976744185,3.7,0.6,1.3,0.9,1.0,False,False,4255.051288604736,MAX_ITERATIONS
17,P45_011,Phase45,0.00074710432,12.4031007751938,4.1,0.5,1.4,1.2,0.8,True,False,3704.993106842041,RESIDUAL_CONVERGED
18,Body_0031,DOE,0.000747201998,13.178294573643411,3.9,0.6,1.4,0.7,1.0,False,False,4257.866863250732,MAX_ITERATIONS
19,P45_010,Phase45,0.000751561893,13.953488372093023,4.1,0.5,1.4,0.9,0.6,True,False,3635.7600429058075,RESIDUAL_CONVERGED
20,P45_015,Phase45,0.000754328251,14.728682170542635,3.7,0.5,1.2,1.1,0.8,True,False,3656.7421917915344,RESIDUAL_CONVERGED
21,Body_0057,DOE,0.000754564443,15.503875968992247,4.0,0.6,1.2,1.1,1.0,False,False,13970.60819196701,MAX_ITERATIONS
22,P45_005,Phase45,0.000755391912,16.27906976744186,4.1,0.6,1.4,1.2,0.6,True,False,4111.70161819458,RESIDUAL_CONVERGED
23,P3_012,Phase3,0.00075619267,17.05426356589147,3.8,0.5,1.3,0.3,1.0,True,False,4026.1721794605255,RESIDUAL_CONVERGED
24,Body_0033,DOE,0.000756262188,17.829457364341085,3.6,0.5,1.2,0.4,1.0,False,True,4492.915579080582,MAX_ITERATIONS
25,P3_009,Phase3,0.000756605292,18.6046511627907,3.7,0.8,1.3,1.2,0.6,False,True,4149.720279932022,MAX_ITERATIONS
26,Body_0024,DOE,0.000758840053,19.37984496124031,4.0,0.6,1.5,0.4,1.0,True,False,3348.9897639751434,RESIDUAL_CONVERGED
27,P45_014,Phase45,0.000763266693,20.155038759689923,4.2,0.6,1.3,1.0,0.7,True,False,3603.5046474933624,RESIDUAL_CONVERGED
28,Body_0039,DOE,0.000767600022,20.930232558139537,3.9,0.9,1.3,1.0,0.5,True,False,3856.3275508880615,RESIDUAL_CONVERGED
29,Body_0075,DOE,0.000767692299,21.705426356589147,3.8,0.5,0.6,0.8,0.6,True,False,3572.98441362381,RESIDUAL_CONVERGED
30,Body_0006,DOE,0.000769262372,22.48062015503876,3.5,0.5,0.7,0.6,0.5,True,False,3762.3791937828064,RESIDUAL_CONVERGED
31,Body_0068,DOE,0.000770805408,23.25581395348837,3.8,0.6,1.0,0.6,0.8,True,False,3714.9219710826874,RESIDUAL_CONVERGED
32,Body_0085,DOE,0.000772715021,24.031007751937985,4.5,0.5,1.1,0.5,0.6,True,False,7275.901913166046,RESIDUAL_CONVERGED
33,P3_008,Phase3,0.000773901835,24.8062015503876,4.8,0.8,1.5,0.9,0.2,True,False,4524.858658313751,RESIDUAL_CONVERGED
34,Body_0042,DOE,0.000774782671,25.58139534883721,4.6,0.7,1.3,1.0,0.4,True,False,4758.8849539756775,RESIDUAL_CONVERGED
35,P3_001,Phase3,0.000777083382,26.356589147286822,4.0,0.7,0.8,1.0,0.7,True,False,2340.519031047821,RESIDUAL_CONVERGED
36,Body_0030,DOE,0.000779051759,27.131782945736433,4.4,0.8,1.4,0.5,0.2,True,False,3778.167789697647,RESIDUAL_CONVERGED
37,Body_0019,DOE,0.00078100564,27.906976744186046,4.6,0.7,1.4,0.7,0.6,True,False,3475.5426745414734,RESIDUAL_CONVERGED
38,Body_0010,DOE,0.000785717177,28.68217054263566,3.6,0.7,1.0,0.5,0.8,True,False,3558.657413482666,RESIDUAL_CONVERGED
39,Body_0092,DOE,0.000786680539,29.45736434108527,4.5,1.0,1.5,1.2,1.0,True,False,3718.077863931656,RESIDUAL_CONVERGED
40,Body_0040,DOE,0.000788283324,30.232558139534884,5.4,0.5,1.3,1.0,0.4,True,False,3895.826141834259,RESIDUAL_CONVERGED
41,P3_007,Phase3,0.000788442074,31.007751937984494,3.5,0.7,0.9,0.5,0.5,False,False,4874.381023645401,MAX_ITERATIONS
42,P3_003,Phase3,0.000791902568,31.782945736434108,4.5,0.6,1.0,0.6,0.8,True,False,4044.544909477234,RESIDUAL_CONVERGED
43,Body_0072,DOE,0.000792740687,32.55813953488372,3.8,0.9,0.9,0.9,1.0,True,False,3479.9578187465668,RESIDUAL_CONVERGED
44,Body_0021,DOE,0.000792792482,33.333333333333336,3.7,1.0,1.4,0.5,1.0,True,False,3582.7103412151337,RESIDUAL_CONVERGED
45,P3_005,Phase3,0.000793613798,34.10852713178294,4.4,0.7,0.9,0.9,0.5,True,True,3883.3253095149994,RESIDUAL_CONVERGED
46,Body_0090,DOE,0.000793881001,34.883720930232556,4.5,0.6,0.8,0.7,0.3,True,False,9487.004817008972,RESIDUAL_CONVERGED
47,Body_0025,DOE,0.000793897651,35.65891472868217,5.0,0.5,0.9,1.0,0.6,False,False,4033.542633295059,MAX_ITERATIONS
48,Body_0048,DOE,0.000797460956,36.434108527131784,5.0,0.7,1.2,0.8,0.7,True,False,3986.904243707657,RESIDUAL_CONVERGED
49,Body_0095,DOE,0.000798912678,37.2093023255814,4.0,1.0,1.2,0.7,0.9,True,False,3204.5403311252594,RESIDUAL_CONVERGED
50,Body_0098,DOE,0.000801704725,37.98449612403101,3.5,0.8,1.0,0.5,0.9,True,False,3153.195337295532,RESIDUAL_CONVERGED
51,Body_0035,DOE,0.000802295488,38.75968992248062,4.6,0.7,1.2,0.4,0.6,True,False,3493.8346841335297,RESIDUAL_CONVERGED
52,Body_0029,DOE,0.000804446892,39.53488372093023,3.5,1.2,0.9,1.0,0.5,True,False,4229.299035787582,RESIDUAL_CONVERGED
53,Body_0086,DOE,0.000805411264,40.310077519379846,3.9,1.1,1.2,0.7,1.0,True,False,6684.498753070831,RESIDUAL_CONVERGED
54,P3_011,Phase3,0.00080888306,41.08527131782946,4.3,0.8,1.2,0.5,0.3,False,False,2303.135512113571,MAX_ITERATIONS
55,Body_0026,DOE,0.000809189339,41.86046511627907,5.1,0.7,1.2,0.7,0.7,True,False,3479.6177957057953,RESIDUAL_CONVERGED
56,Body_0003,DOE,0.000810046845,42.63565891472868,5.0,0.9,1.2,0.8,0.4,True,False,3073.694144010544,RESIDUAL_CONVERGED
57,P3_006,Phase3,0.000811102268,43.41085271317829,4.4,1.0,1.0,0.8,0.2,True,True,2375.2605197429657,RESIDUAL_CONVERGED
58,P3_002,Phase3,0.000814687895,44.18604651162791,4.8,1.0,1.2,1.1,0.7,True,True,4110.913291931152,RESIDUAL_CONVERGED
59,Body_0059,DOE,0.00081707412,44.96124031007752,4.4,1.1,0.9,1.1,0.4,True,False,3686.0699214935303,RESIDUAL_CONVERGED
60,Body_0091,DOE,0.000817990731,45.736434108527135,4.4,1.0,1.3,0.3,1.0,True,False,7702.793776512146,RESIDUAL_CONVERGED
61,Body_0087,DOE,0.000819200473,46.51162790697674,4.8,1.3,1.5,1.0,0.9,True,False,6932.33473443985,RESIDUAL_CONVERGED
62,Body_0052,DOE,0.000820747472,47.286821705426355,5.2,0.9,1.3,1.1,0.6,True,True,3696.929472923279,RESIDUAL_CONVERGED
63,Body_0084,DOE,0.000821830515,48.06201550387597,4.9,1.1,1.2,0.8,0.2,True,False,7505.460275650024,RESIDUAL_CONVERGED
64,Body_0081,DOE,0.000822581715,48.83720930232558,4.1,1.4,1.5,0.6,1.0,True,False,6848.5523409843445,RESIDUAL_CONVERGED
65,Body_0005,DOE,0.00082296591,49.6124031007752,4.0,1.0,0.9,0.6,0.4,True,False,3033.972895383835,RESIDUAL_CONVERGED
66,Body_0013,DOE,0.000826890447,50.3875968992248,5.9,0.6,1.5,0.5,0.8,True,False,3445.949550151825,RESIDUAL_CONVERGED
67,P3_010,Phase3,0.00082762542,51.16279069767442,5.2,0.6,0.6,1.2,0.6,True,True,4059.036971092224,RESIDUAL_CONVERGED
68,Body_0066,DOE,0.000827707734,51.93798449612403,3.6,1.5,1.2,0.9,0.3,False,False,4095.127121448517,MAX_ITERATIONS
69,Body_0047,DOE,0.000828967623,52.713178294573645,5.6,0.5,0.8,1.0,0.3,True,False,6672.969802379608,RESIDUAL_CONVERGED
70,Body_0015,DOE,0.000830569545,53.48837209302326,5.1,0.9,1.1,1.1,0.5,True,False,3275.775233030319,RESIDUAL_CONVERGED
71,Body_0007,DOE,0.000830924174,54.263565891472865,3.6,1.0,1.1,0.6,0.8,True,True,3941.450186252594,RESIDUAL_CONVERGED
72,Body_0063,DOE,0.00083306833,55.03875968992248,4.8,1.2,1.4,0.3,0.3,True,False,4122.526178359985,RESIDUAL_CONVERGED
73,Body_0053,DOE,0.000833374489,55.81395348837209,5.5,0.8,1.4,0.3,0.8,True,False,3432.7822251319885,RESIDUAL_CONVERGED
74,Body_0074,DOE,0.000833669022,56.58914728682171,5.5,1.2,1.4,0.8,0.2,True,False,3069.868578195572,RESIDUAL_CONVERGED
75,Body_0064,DOE,0.000834260089,57.36434108527132,4.4,1.0,0.8,0.7,0.9,True,False,3541.386381626129,RESIDUAL_CONVERGED
76,Body_0032,DOE,0.00083473415,58.13953488372093,4.1,1.2,1.1,0.3,0.9,True,False,4099.73320889473,RESIDUAL_CONVERGED
77,Body_0065,DOE,0.000836274091,58.91472868217054,5.7,0.6,0.9,0.9,0.4,True,True,3756.2014815807343,RESIDUAL_CONVERGED
78,Body_0011,DOE,0.000839250465,59.689922480620154,4.7,0.5,0.6,0.3,0.8,True,False,3336.421380996704,RESIDUAL_CONVERGED
79,Body_0071,DOE,0.000839999176,60.46511627906977,5.2,1.1,1.2,0.7,0.7,True,False,3993.0732765197754,RESIDUAL_CONVERGED
80,Body_0099,DOE,0.000840702036,61.24031007751938,5.4,1.3,1.4,0.6,0.2,True,False,3762.6861588954926,RESIDUAL_CONVERGED
81,Body_0088,DOE,0.000840974309,62.01550387596899,5.7,0.7,1.0,0.3,0.3,True,False,7399.0000767707825,RESIDUAL_CONVERGED
82,Body_0023,DOE,0.000843172804,62.7906976744186,4.7,1.4,1.5,0.3,0.7,True,False,3500.1261875629425,RESIDUAL_CONVERGED
83,Body_0076,DOE,0.000843411502,63.565891472868216,4.3,1.2,1.1,0.5,0.9,True,False,3518.6204285621643,RESIDUAL_CONVERGED
84,Body_0044,DOE,0.000845279798,64.34108527131782,5.6,0.5,0.9,0.9,0.8,True,False,11961.577192544937,RESIDUAL_CONVERGED
85,Body_0027,DOE,0.000847007212,65.11627906976744,5.9,1.3,1.0,0.4,0.3,False,False,4449.78200674057,MAX_ITERATIONS
86,Body_0061,DOE,0.000847871173,65.89147286821705,3.9,1.4,1.0,0.8,0.5,True,False,3594.0789148807526,RESIDUAL_CONVERGED
87,Body_0067,DOE,0.000850377432,66.66666666666667,4.6,1.4,0.9,1.2,0.8,True,False,3668.002457380295,RESIDUAL_CONVERGED
88,Body_0078,DOE,0.000852512718,67.44186046511628,5.3,1.4,1.2,1.2,0.2,True,True,5219.9135999679565,RESIDUAL_CONVERGED
89,Body_0054,DOE,0.000853983373,68.21705426356588,4.2,1.5,1.1,0.5,1.0,True,False,10371.033337116241,RESIDUAL_CONVERGED
90,Body_0073,DOE,0.000856431849,68.9922480620155,5.3,0.8,0.8,1.2,1.0,False,True,4156.49747133255,MAX_ITERATIONS
91,Body_0001,DOE,0.00085736304,69.76744186046511,4.5,1.1,0.7,1.0,0.9,True,False,3326.015291929245,RESIDUAL_CONVERGED
92,Body_0051,DOE,0.000858105551,70.54263565891473,5.3,0.8,0.6,1.0,0.2,True,False,3772.6373765468597,RESIDUAL_CONVERGED
93,Body_0045,DOE,0.000859957686,71.31782945736434,4.0,1.4,0.8,0.7,0.5,True,False,11716.477186203003,RESIDUAL_CONVERGED
94,Body_0037,DOE,0.000863252168,72.09302325581395,5.4,0.8,1.0,0.5,0.7,True,False,3896.8402671813965,RESIDUAL_CONVERGED
95,Body_0043,DOE,0.000863396099,72.86821705426357,5.3,1.3,1.1,0.7,0.5,True,False,10611.135818481445,RESIDUAL_CONVERGED
96,Body_0038,DOE,0.000864009781,73.64341085271317,5.5,1.4,1.2,1.1,0.2,True,True,4053.893050670624,RESIDUAL_CONVERGED
97,Body_0049,DOE,0.000864760204,74.4186046511628,5.1,1.1,1.0,0.5,0.2,True,True,3815.0415754318237,RESIDUAL_CONVERGED
98,Body_0014,DOE,0.00086832687,75.1937984496124,5.2,0.8,0.6,1.1,0.3,True,True,3476.924920320511,RESIDUAL_CONVERGED
99,Body_0012,DOE,0.000874556417,75.96899224806202,5.8,0.9,1.3,0.3,0.9,True,False,3326.3453731536865,RESIDUAL_CONVERGED
100,Body_0016,DOE,0.000876649941,76.74418604651163,4.7,1.5,1.0,1.2,0.2,True,False,3486.466999769211,RESIDUAL_CONVERGED
101,Body_0097,DOE,0.00088109766,77.51937984496124,5.4,1.0,0.8,0.5,0.4,True,False,3419.205649614334,RESIDUAL_CONVERGED
102,Body_0094,DOE,0.000881221602,78.29457364341086,5.8,1.2,1.3,0.6,0.9,True,False,3564.618854522705,RESIDUAL_CONVERGED
103,Body_0060,DOE,0.000884214922,79.06976744186046,4.4,1.3,0.6,0.6,0.5,True,False,3279.173143863678,RESIDUAL_CONVERGED
104,Body_0055,DOE,0.000892658783,79.84496124031008,5.7,1.2,1.1,0.3,0.8,True,False,10609.634214878082,RESIDUAL_CONVERGED
105,Body_0062,DOE,0.000900453295,80.62015503875969,4.2,1.3,0.9,0.5,0.6,False,False,4456.400906324387,MAX_ITERATIONS
106,Body_0069,DOE,0.000900654995,81.3953488372093,5.8,0.8,0.9,0.3,0.9,True,False,3820.4614651203156,RESIDUAL_CONVERGED
107,Body_0100,DOE,0.000902687317,82.17054263565892,4.3,1.3,0.5,0.5,0.3,True,False,4044.2480306625366,RESIDUAL_CONVERGED
108,Body_0046,DOE,0.000902941537,82.94573643410853,3.5,1.4,0.7,0.3,0.2,False,False,13759.700394392014,MAX_ITERATIONS
109,Body_0009,DOE,0.000904946602,83.72093023255815,3.7,1.0,1.0,0.8,0.8,False,False,4219.250528812408,MAX_ITERATIONS
110,Body_0008,DOE,0.000910257703,84.49612403100775,5.2,1.5,0.7,1.0,0.9,True,False,3329.017337322235,RESIDUAL_CONVERGED
111,Body_0034,DOE,0.000910871603,85.27131782945736,5.8,1.1,0.9,0.4,0.6,True,False,4015.780203104019,RESIDUAL_CONVERGED
112,Body_0056,DOE,0.000915526691,86.04651162790698,5.6,0.9,0.6,0.4,0.5,True,False,11226.75880908966,RESIDUAL_CONVERGED
113,Body_0070,DOE,0.000915621809,86.82170542635659,3.7,1.5,1.5,1.1,1.0,False,False,4367.778368711472,MAX_ITERATIONS
114,Body_0018,DOE,0.000917066032,87.59689922480621,3.6,1.4,0.6,0.6,1.0,True,False,3733.0117766857147,RESIDUAL_CONVERGED
115,Body_0080,DOE,0.000924156266,88.37209302325581,6.0,1.3,0.7,0.8,0.3,True,False,7594.128661394119,RESIDUAL_CONVERGED
116,Body_0058,DOE,0.000932910326,89.14728682170542,3.9,1.1,0.7,0.6,1.0,True,False,3933.217796564102,RESIDUAL_CONVERGED
117,Body_0022,DOE,0.000939135259,89.92248062015504,5.6,1.5,0.9,1.1,0.6,True,False,2743.48801279068,RESIDUAL_CONVERGED
118,Body_0083,DOE,0.000940443488,90.69767441860465,5.7,1.1,0.5,1.1,0.5,True,False,7336.512756347656,RESIDUAL_CONVERGED
119,Body_0017,DOE,0.000952643496,91.47286821705427,5.1,1.0,0.5,0.4,0.9,True,False,3159.6190969944,RESIDUAL_CONVERGED
120,Body_0041,DOE,0.000982394527,92.24806201550388,5.9,1.4,0.5,1.1,0.5,True,False,3451.2979884147644,RESIDUAL_CONVERGED
121,Body_0079,DOE,0.000983443989,93.02325581395348,3.7,1.5,0.5,1.1,0.6,True,False,6351.0612161159515,RESIDUAL_CONVERGED
122,Body_0082,DOE,0.000984848127,93.7984496124031,4.8,1.5,0.9,0.7,0.2,False,False,9241.348062992096,MAX_ITERATIONS
123,Body_0096,DOE,0.000985001715,94.57364341085271,6.0,0.9,0.5,0.5,0.4,True,False,2627.1405639648438,RESIDUAL_CONVERGED
124,Body_0089,DOE,0.000997702818,95.34883720930233,5.0,1.3,0.6,0.4,0.3,False,False,9585.770425319672,MAX_ITERATIONS
125,Body_0093,DOE,0.00100326595,96.12403100775194,5.3,1.3,0.5,0.4,0.9,True,False,2978.9000663757324,RESIDUAL_CONVERGED
126,Body_0028,DOE,0.00102209626,96.89922480620154,3.9,1.0,0.7,1.2,0.7,False,False,4372.673974990845,MAX_ITERATIONS
127,Body_0036,DOE,0.0010233325,97.67441860465117,5.2,1.5,0.5,1.1,1.0,True,False,4113.377348423004,RESIDUAL_CONVERGED
128,Body_0002,DOE,0.00105541154,98.44961240310077,5.6,1.1,0.5,0.6,0.3,False,False,3975.605902194977,MAX_ITERATIONS
