x,y
0.00000000,0.00000000
0.00532000,0.00895045
0.01064000,0.01320814
0.01596000,0.01680832
0.02128000,0.02009044
0.02660000,0.02317226
0.03192000,0.02610683
0.03724000,0.02892111
0.04256000,0.03162968
0.04788000,0.03424055
0.05320000,0.03675809
0.05852000,0.03918449
0.06384000,0.04152068
0.06916000,0.04376681
0.07448000,0.04592261
0.07980000,0.04798754
0.08512000,0.04996098
0.09044000,0.05184227
0.09576000,0.05363080
0.10108000,0.05532604
0.10640000,0.05692753
0.11172000,0.05843498
0.11704000,0.05984817
0.12236000,0.06116706
0.12768000,0.06239171
0.13300000,0.06352234
0.13832000,0.06455928
0.14364000,0.06550299
0.14896000,0.06635408
0.15428000,0.06711326
0.15960000,0.06778135
0.16492000,0.06835931
0.17024000,0.06884819
0.17556000,0.06924913
0.18088000,0.06956339
0.18620000,0.06979232
0.19152000,0.06993735
0.19684000,0.07000000
0.20216000,0.06998186
0.20748000,0.06988461
0.21280000,0.06970998
0.21812000,0.06945979
0.22344000,0.06913591
0.22876000,0.06874025
0.23408000,0.06827481
0.23940000,0.06774162
0.24472000,0.06714276
0.25004000,0.06648034
0.25536000,0.06575653
0.26068000,0.06497353
0.26600000,0.06413357
0.27132000,0.06323891
0.27664000,0.06229184
0.28196000,0.06129466
0.28728000,0.06024972
0.29260000,0.05915935
0.29792000,0.05802593
0.30324000,0.05685183
0.30856000,0.05563943
0.31388000,0.05439113
0.31920000,0.05310933
0.32452000,0.05179642
0.32984000,0.05045479
0.33516000,0.04908686
0.34048000,0.04769500
0.34580000,0.04628160
0.35112000,0.04484902
0.35644000,0.04339963
0.36176000,0.04193577
0.36708000,0.04045978
0.37240000,0.03897395
0.37772000,0.03748058
0.38304000,0.03598194
0.38836000,0.03448027
0.39368000,0.03297778
0.39900000,0.03147666
0.40432000,0.02997907
0.40964000,0.02848712
0.41496000,0.02700292
0.42028000,0.02552852
0.42560000,0.02406593
0.43092000,0.02261713
0.43624000,0.02118407
0.44156000,0.01976862
0.44688000,0.01837266
0.45220000,0.01699797
0.45752000,0.01564631
0.46284000,0.01431941
0.46816000,0.01301890
0.47348000,0.01174641
0.47880000,0.01050347
0.48412000,0.00929159
0.48944000,0.00811220
0.49476000,0.00696670
0.50008000,0.00585639
0.50540000,0.00478255
0.51072000,0.00374637
0.51604000,0.00274899
0.52136000,0.00179147
0.52668000,0.00087483
0.53200000,0.00000000
0.52668000,-0.00087483
0.52136000,-0.00179147
0.51604000,-0.00274899
0.51072000,-0.00374637
0.50540000,-0.00478255
0.50008000,-0.00585639
0.49476000,-0.00696670
0.48944000,-0.00811220
0.48412000,-0.00929159
0.47880000,-0.01050347
0.47348000,-0.01174641
0.46816000,-0.01301890
0.46284000,-0.01431941
0.45752000,-0.01564631
0.45220000,-0.01699797
0.44688000,-0.01837266
0.44156000,-0.01976862
0.43624000,-0.02118407
0.43092000,-0.02261713
0.42560000,-0.02406593
0.42028000,-0.02552852
0.41496000,-0.02700292
0.40964000,-0.02848712
0.40432000,-0.02997907
0.39900000,-0.03147666
0.39368000,-0.03297778
0.38836000,-0.03448027
0.38304000,-0.03598194
0.37772000,-0.03748058
0.37240000,-0.03897395
0.36708000,-0.04045978
0.36176000,-0.04193577
0.35644000,-0.04339963
0.35112000,-0.04484902
0.34580000,-0.04628160
0.34048000,-0.04769500
0.33516000,-0.04908686
0.32984000,-0.05045479
0.32452000,-0.05179642
0.31920000,-0.05310933
0.31388000,-0.05439113
0.30856000,-0.05563943
0.30324000,-0.05685183
0.29792000,-0.05802593
0.29260000,-0.05915935
0.28728000,-0.06024972
0.28196000,-0.06129466
0.27664000,-0.06229184
0.27132000,-0.06323891
0.26600000,-0.06413357
0.26068000,-0.06497353
0.25536000,-0.06575653
0.25004000,-0.06648034
0.24472000,-0.06714276
0.23940000,-0.06774162
0.23408000,-0.06827481
0.22876000,-0.06874025
0.22344000,-0.06913591
0.21812000,-0.06945979
0.21280000,-0.06970998
0.20748000,-0.06988461
0.20216000,-0.06998186
0.19684000,-0.07000000
0.19152000,-0.06993735
0.18620000,-0.06979232
0.18088000,-0.06956339
0.17556000,-0.06924913
0.17024000,-0.06884819
0.16492000,-0.06835931
0.15960000,-0.06778135
0.15428000,-0.06711326
0.14896000,-0.06635408
0.14364000,-0.06550299
0.13832000,-0.06455928
0.13300000,-0.06352234
0.12768000,-0.06239171
0.12236000,-0.06116706
0.11704000,-0.05984817
0.11172000,-0.05843498
0.10640000,-0.05692753
0.10108000,-0.05532604
0.09576000,-0.05363080
0.09044000,-0.05184227
0.08512000,-0.04996098
0.07980000,-0.04798754
0.07448000,-0.04592261
0.06916000,-0.04376681
0.06384000,-0.04152068
0.05852000,-0.03918449
0.05320000,-0.03675809
0.04788000,-0.03424055
0.04256000,-0.03162968
0.03724000,-0.02892111
0.03192000,-0.02610683
0.02660000,-0.02317226
0.02128000,-0.02009044
0.01596000,-0.01680832
0.01064000,-0.01320814
0.00532000,-0.00895045
0.00000000,0.00000000
